millis,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0,-0.0044,0.1555,1.0547,12.0451,0.0264,3.9745
10,0.1105,0.1603,1.0823,23.5903,11.8699,3.9701
20,0.1410,0.1530,1.1362,35.5276,21.4404,5.6973
30,0.2142,0.1142,1.2082,35.9006,33.5461,7.0112
40,0.2392,0.1465,1.2374,47.0386,45.3361,9.4075
50,0.2907,0.0988,1.2137,52.0593,53.1075,11.3138
60,0.2900,0.0761,1.2189,57.6746,60.4765,12.9658
70,0.3377,0.0667,1.2069,62.5285,65.1317,10.4548
80,0.3939,0.0573,1.1331,66.3699,77.3086,12.9674
90,0.3240,0.0531,1.1171,71.7873,82.6297,11.1535
100,0.3733,0.0272,1.0990,72.7241,84.7526,19.3716
110,0.3772,-0.0107,1.0476,70.1394,87.2614,21.2576
120,0.3386,-0.0166,0.9386,74.6775,90.9582,22.8121
130,0.3286,-0.0569,0.9214,67.4291,88.3558,21.5030
140,0.3166,-0.0656,0.8198,68.6365,90.1938,24.5132
150,0.2507,-0.1373,0.7665,63.6628,83.8913,23.1053
160,0.2480,-0.1618,0.7084,61.4243,80.6655,23.6733
170,0.1947,-0.1363,0.7531,54.3052,77.4634,21.5436
180,0.1748,-0.1974,0.7214,50.2675,69.3758,23.6092
190,0.1513,-0.1929,0.7826,41.7650,65.6090,24.4932
200,0.1385,-0.2036,0.7604,37.2358,59.6388,27.9144
210,0.1199,-0.2263,0.7910,27.9838,47.3235,29.7642
220,0.1052,-0.2370,0.7919,23.9017,42.7730,25.7624
230,0.0448,-0.2103,0.9136,9.1781,29.3852,27.6252
240,0.0938,-0.2959,0.9376,3.8345,20.4816,27.5021
250,0.0579,-0.2314,1.0034,-6.5233,8.8537,25.3679
260,0.0339,-0.2041,1.0115,-14.2438,-1.4368,23.3680
270,-0.0064,-0.2479,1.1287,-24.0788,-12.3565,25.0876
280,-0.0204,-0.2441,1.1785,-30.3847,-25.6375,23.3938
290,-0.0281,-0.2213,1.1844,-42.1661,-34.5808,25.1983
300,-0.0503,-0.1900,1.2200,-48.3559,-43.7288,25.0820
310,-0.1158,-0.2377,1.2364,-50.5635,-48.4676,24.4061
320,-0.0894,-0.1979,1.2441,-60.4889,-57.8263,23.7738
330,-0.0698,-0.1867,1.2097,-59.1869,-69.7967,24.3253
340,-0.1975,-0.1503,1.2064,-66.9574,-73.2282,20.5278
350,-0.1657,-0.1381,1.1248,-68.6714,-79.6851,23.2419
360,-0.2063,-0.1051,1.0634,-70.9096,-85.3208,17.0643
370,-0.2443,-0.1009,1.0014,-71.0040,-87.0960,19.2974
380,-0.2365,-0.0678,0.9002,-72.0063,-88.1315,18.7792
390,-0.3087,-0.0573,0.8745,-70.6830,-91.0411,15.1369
400,-0.2962,-0.0320,0.8549,-67.5581,-89.4195,12.1589
410,-0.2783,0.0031,0.7936,-61.4987,-86.1098,15.1880
420,-0.3142,0.0245,0.7404,-57.1329,-84.8632,11.2355
430,-0.3134,0.0265,0.7421,-51.2734,-77.6202,12.6089
440,-0.2869,0.1044,0.6889,-45.9531,-71.1198,10.8428
450,-0.2789,0.0869,0.7326,-40.7868,-65.7238,7.8877
460,-0.2058,0.0799,0.7754,-35.4152,-57.0358,6.1475
470,-0.2180,0.1439,0.8181,-22.3637,-45.4709,6.4436
480,-0.1394,0.1178,0.8359,-13.7152,-34.8743,3.6296
490,-0.1251,0.1528,0.9368,-5.8335,-23.5678,-0.9456
500,-0.0283,0.1477,1.0220,6.1765,-14.0549,-0.5471
510,0.0066,0.1549,1.0322,15.2634,-0.8581,-1.3085
520,0.0124,0.1524,1.1142,21.7132,9.4189,-3.7036
530,0.1228,0.1331,1.1210,32.4642,21.8655,-5.4741
540,0.1519,0.1382,1.1518,38.8047,33.5887,-7.7659
550,0.2140,0.1672,1.2305,42.4622,40.5846,-9.4105
560,0.2951,0.0687,1.2296,51.5581,51.5894,-12.6086
570,0.2755,0.0981,1.2268,57.7480,59.9851,-15.2124
580,0.3041,0.0851,1.1864,64.9307,68.0922,-11.7672
590,0.3708,0.0361,1.1577,65.6723,79.7378,-16.6287
600,0.3517,0.0074,1.1312,69.2505,83.2657,-16.3050
610,0.3812,0.0555,1.0951,69.7389,82.2119,-20.9917
620,0.3491,-0.0197,0.9945,72.0724,89.1766,-18.9286
630,0.3123,0.0068,0.9091,71.7399,88.6949,-21.9417
640,0.3118,-0.0481,0.9099,71.9719,92.0564,-15.4160
650,0.3164,-0.0818,0.8427,68.9377,88.8908,-24.3431
660,0.2831,-0.1000,0.7961,63.5910,85.5896,-25.2149
670,0.2338,-0.1224,0.7516,58.4144,81.7146,-22.3023
680,0.2095,-0.1312,0.7789,52.9650,77.3567,-22.5585
690,0.1799,-0.1654,0.7311,46.8337,70.6239,-29.6061
700,0.1418,-0.1908,0.7530,42.0496,62.1832,-25.4624
710,0.1717,-0.2041,0.7280,27.3660,55.1615,-24.5855
720,0.1087,-0.1943,0.7907,23.9756,47.4087,-29.0964
730,0.0628,-0.2165,0.8377,16.3299,34.3953,-25.5357
740,0.0532,-0.2623,0.9144,8.1288,24.8187,-28.0839
750,0.0571,-0.2606,0.9875,-5.8558,12.9465,-29.0326
760,0.0369,-0.2433,1.0261,-11.7227,1.2945,-27.6502
770,0.0025,-0.2615,1.1324,-19.2252,-7.3842,-27.6767
780,-0.0274,-0.2527,1.1265,-30.1368,-22.1102,-29.2261
790,-0.0360,-0.2562,1.1834,-42.0021,-32.5187,-21.5499
