millis,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0,-0.0384,0.0685,1.0332,-1.1211,20.7486,16.0678
10,0.0846,0.1079,1.1348,19.4042,3.5348,19.0699
20,0.1410,0.0953,1.3337,23.3964,26.6082,19.4576
30,0.2268,0.2547,1.3565,9.8985,33.2097,24.7200
40,0.1173,0.0421,1.1965,47.4890,20.3521,16.4454
50,0.1969,0.0828,1.1173,48.7160,26.1353,18.2393
60,0.2713,0.0492,1.2220,47.3178,64.8454,21.5021
70,0.3877,0.0933,1.1959,65.9427,54.0426,37.9782
80,0.4249,0.1115,1.1510,69.3584,71.8384,38.8108
90,0.3701,-0.0392,0.9610,67.0377,60.5424,48.7547
100,0.4194,-0.1413,0.9704,74.7996,78.7465,41.2873
110,0.3426,-0.0669,0.8943,69.5745,86.7043,43.2138
120,0.2993,-0.0591,0.8261,60.4859,97.3429,50.2701
130,0.1342,-0.1611,0.7250,76.6251,105.7146,50.1807
140,0.1825,-0.0592,0.7586,45.1357,76.3527,51.5726
150,0.1821,-0.1884,0.6905,79.2824,96.9421,65.6456
160,0.2817,-0.1719,0.7025,62.2545,82.4402,55.1649
170,0.2280,-0.1797,0.6934,50.9449,75.7268,31.2025
180,0.1301,-0.0223,0.6941,55.1619,72.5885,50.2792
190,0.2185,-0.0965,0.6973,44.8395,74.3584,57.6970
200,0.2044,-0.1286,0.6954,49.2239,62.7236,56.9425
210,0.2083,-0.2502,0.6897,63.1943,67.7389,57.6521
220,0.1433,-0.2564,0.6832,49.9567,59.0086,55.0736
230,0.0941,-0.2517,0.7159,33.7845,60.8827,72.4364
240,0.1894,-0.1113,0.7982,19.5112,65.6452,52.5601
250,0.0447,-0.1495,1.0560,12.8087,11.0081,67.4077
260,0.1127,-0.2380,1.0617,2.3293,24.1096,68.9977
270,-0.0404,-0.3003,1.0168,-17.6476,-11.2335,69.1026
280,-0.0081,-0.3749,1.0066,-10.5553,-12.7975,79.8782
290,-0.0705,-0.2629,1.2910,-43.2740,-30.3704,49.5068
300,-0.1580,-0.1697,1.2291,-55.0560,-51.7684,49.2606
310,-0.0755,-0.1431,1.2338,-55.1068,-57.2972,56.2350
320,-0.2551,-0.1307,1.2492,-73.4045,-64.2481,55.2078
330,-0.1906,-0.1715,0.9529,-84.9065,-87.1748,51.7686
340,-0.3529,-0.0891,1.0537,-71.8782,-88.5274,40.9317
350,-0.1940,-0.1001,1.0164,-63.8591,-83.3816,39.7147
360,-0.2553,-0.0098,1.0596,-74.2424,-85.5609,55.7409
370,-0.1680,-0.0656,0.9855,-63.8205,-74.3141,48.8385
380,-0.1409,0.0139,0.8925,-58.7522,-109.3240,44.0562
390,-0.3399,-0.0045,0.8550,-71.5431,-81.0983,44.0820
400,-0.3042,-0.0306,0.7923,-63.9854,-83.0083,48.8363
410,-0.3982,0.1005,0.7847,-62.9475,-88.1696,29.4279
420,-0.3394,-0.0407,0.7118,-52.0517,-89.5337,31.1436
430,-0.2795,0.1244,0.6824,-41.0544,-77.3701,6.9755
440,-0.2511,0.0669,0.7238,-34.8176,-67.8857,13.9544
450,-0.1551,0.0915,0.8345,-14.0079,-35.6680,15.3924
460,-0.1747,0.1375,0.8729,-22.6534,-49.4236,18.2566
470,-0.0716,0.0989,0.8787,-10.0182,-36.2711,0.0854
480,-0.1587,0.0682,0.8857,-13.8625,-27.0611,-7.9290
490,-0.0308,0.0821,1.0698,5.1756,-8.2963,-8.0890
500,-0.0940,0.0689,1.0462,19.8796,-2.5411,-20.9028
510,0.0352,0.1360,1.1249,23.6689,4.2435,-16.1402
520,-0.0748,0.1522,1.1299,28.8897,16.4458,-12.7006
530,0.1145,0.1231,1.1132,27.6646,12.2852,-7.4877
540,0.1832,0.0095,1.2174,28.8578,30.5986,-2.8107
