millis,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0,-0.0105,0.1071,1.1214,23.2790,-2.3421,6.0735
10,0.0869,0.1378,1.1263,28.8460,14.5691,3.5580
20,0.2622,0.0824,1.1743,30.1788,26.8619,11.2367
30,0.1968,0.1457,1.1775,41.7176,45.8208,18.1307
40,0.3784,0.1243,1.2227,53.7530,51.9179,10.3844
50,0.2984,0.0812,1.1963,60.5243,61.0917,15.4099
60,0.3156,0.0526,1.2402,64.6523,64.1552,17.0128
70,0.3947,-0.0004,1.1920,68.4563,74.9640,20.3477
80,0.3369,0.0118,1.1315,65.8077,82.1430,16.2072
90,0.3656,0.0698,1.0652,70.8808,84.4908,19.1203
100,0.3022,-0.0189,0.9032,67.5650,91.8958,28.5732
110,0.2837,0.0212,0.9385,68.6985,89.6751,24.7061
120,0.2859,-0.0880,0.9072,66.8721,92.6851,20.8123
130,0.3043,-0.0820,0.8671,64.6839,90.8178,27.4983
140,0.2493,-0.1152,0.6824,64.0365,85.0916,25.3908
150,0.1752,-0.1264,0.6780,61.1480,90.1791,32.0105
160,0.2525,-0.1058,0.7549,54.7234,82.7345,20.2111
170,0.1999,-0.2351,0.6923,56.6942,79.5151,27.7519
180,0.1688,-0.1468,0.7225,44.4094,65.7903,31.9019
190,0.1207,-0.1719,0.7318,42.8096,55.7710,23.6791
200,0.0346,-0.2103,0.7960,34.7706,52.9215,26.0886
210,0.1799,-0.2147,0.7186,21.8283,45.7294,31.1347
220,0.0681,-0.2403,0.8255,19.9813,39.8077,29.7229
230,0.0904,-0.2133,0.9359,2.9880,29.5522,28.5168
240,0.1064,-0.2439,0.9667,5.3899,22.1383,30.9879
250,0.0645,-0.2825,1.0267,-13.6672,1.2668,24.0869
260,0.0005,-0.2407,1.1525,-30.6751,-20.9420,25.8959
270,-0.0305,-0.2026,1.1955,-44.7496,-25.2081,35.6152
280,-0.0451,-0.2128,1.1835,-46.8963,-44.4517,25.4938
290,-0.0449,-0.2124,1.2573,-57.5279,-54.7754,29.0839
300,-0.0900,-0.1858,1.2480,-54.9325,-62.3973,26.1437
310,-0.1553,-0.1969,1.1965,-68.2102,-69.2696,28.9820
320,-0.1416,-0.1788,1.2100,-67.4349,-70.7185,26.0467
